ID,Interval,Transfer,Bandwidth
0,1.0,10.5,88.1
0,2.0,10.9,91.2
0,3.0,10.6,89.1
0,4.0,10.5,88.1
0,5.0,11.2,94.4
0,6.0,11.4,95.4
0,7.0,10.8,90.2
0,8.0,10.8,90.2
0,9.0,8.5,71.3
0,9.7,4.87,60.0
1,1.0,9.13,76.5
1,2.0,11.0,92.3
1,3.0,9.38,78.6
1,4.0,10.6,89.1
1,5.0,9.25,77.6
1,6.0,10.0,83.9
1,7.0,10.6,89.1
1,8.0,10.8,90.2
1,9.0,8.62,72.4
1,10.3,10.6,67.4
2,1.0,10.5,88.1
2,2.0,11.0,92.3
2,3.0,10.9,91.2
2,4.0,10.9,91.2
2,5.0,10.6,89.1
2,6.0,10.4,87.0
2,7.0,11.8,98.6
2,8.0,10.6,89.1
2,9.0,10.8,90.2
2,9.6,2.62,37.1
3,1.0,10.5,88.1
3,2.0,11.0,92.3
3,3.0,10.6,89.1
3,4.0,10.5,88.1
3,5.0,11.2,94.4
3,6.0,11.5,96.5
3,7.0,10.8,90.2
3,8.0,10.8,90.2
3,9.0,10.8,90.2
3,9.6,2.37,33.4
4,1.0,10.5,88.1
4,2.0,10.9,91.2
4,3.0,10.6,89.1
4,4.0,10.5,88.1
4,5.0,11.2,94.4
4,6.0,11.5,96.5
4,7.0,10.8,90.2
4,8.0,10.9,91.2
4,9.0,10.8,90.2
4,9.6,2.37,33.4
5,1.0,10.5,88.1
5,2.0,10.9,91.2
5,3.0,10.6,89.1
5,4.0,10.5,88.1
5,5.0,11.2,94.4
5,6.0,11.5,96.5
5,7.0,10.6,89.1
5,8.0,10.8,90.2
5,9.0,10.8,90.2
5,9.6,2.62,36.8
6,1.0,10.5,88.1
6,2.0,11.0,92.3
6,3.0,10.9,91.2
6,4.0,10.9,91.2
6,5.0,10.6,89.1
6,6.0,10.4,87.0
6,7.0,11.6,97.5
6,8.0,10.6,89.1
6,9.0,10.8,90.2
6,9.6,2.75,39.0
7,1.0,10.5,88.1
7,2.0,11.0,92.3
7,3.0,10.6,89.1
7,4.0,10.5,88.1
7,5.0,11.2,94.4
7,6.0,11.5,96.5
7,7.0,10.8,90.2
7,8.0,10.8,90.2
7,9.0,10.8,90.2
7,9.6,2.37,33.8
8,1.0,10.5,88.1
8,2.0,10.9,91.2
8,3.0,10.6,89.1
8,4.0,10.5,88.1
8,5.0,11.2,94.4
8,6.0,11.5,96.5
8,7.0,10.8,90.2
8,8.0,10.8,90.2
8,9.0,10.6,89.1
8,9.6,2.62,37.1
